"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-02-23","14:30:00",6828.6,"1 Feb 25 6725 P STO 11.50 | 1 Feb 25 6890 C STO 12.90 | 1 Feb 27 6725 P BTO 29.65 | 1 Feb 27 6890 C BTO 32.80",-3806,6832.67,"2026-02-23","15:59:00",-3949,"Backtest Completed",139,3.652128218602207,1,634559.32,3806,"CALENDAR 2/4 21:05 - LUN",4,0,0.391,0.358,21.32,21.54,-8.26,-72.65,4.57,0
"2026-02-23","11:00:00",6838.63,"1 Feb 23 6835 P STO 15.15 | 1 Feb 23 6860 C STO 8.05 | 1 Feb 23 6810 P BTO 7.25 | 1 Feb 23 6880 C BTO 3.25",1260,6837.75,"2026-02-23","16:00:00",0,"Expired",1252.88,99.43492063492064,1,635812.2,1240,"h 17:00 17:30 IC -LUN-MAR-VEN",7.12,0,2.21,1.5,21.45,21.29,-8.26,-62.62,100,-17.06
"2026-02-20","14:15:00",6901.53,"2 Feb 20 6895 P STO 5.85 | 2 Feb 20 6890 P BTO 4.55",120,6909.51,"2026-02-20","16:00:00",0,"Expired",233.4,97.25,2,633013.76,760,"h 19:15 & 20:15 Bull Put w5 - Sma5 abv - Move up 0.3%- Lun No",6.6,0,1.286,1,19.11,19.11,-18.63,58.27,100,-45.83
"2026-02-20","13:45:00",6903.86,"1 Feb 20 6895 P STO 7.30 | 1 Feb 20 6915 C STO 5.35 | 1 Feb 20 6885 P BTO 4.90 | 1 Feb 20 6925 C BTO 2.55",510,6909.51,"2026-02-20","16:00:00",0,"Expired",502.88,98.60392156862746,1,633516.64,490,"IC Iron Condor 1:45 entry Vix 14 and SMA",7.12,0,1.698,1,19.04,19.11,-18.63,60.6,100,-20.59
"2026-02-20","13:15:00",6887.11,"2 Feb 20 6880 P STO 9.75 | 2 Feb 20 6875 P BTO 8.30",135,6909.51,"2026-02-20","16:00:00",0,"Expired",263.4,97.55555555555556,2,633780.04,730,"h 19:15 & 20:15 Bull Put w5 - Sma5 abv - Move up 0.3%- Lun No",6.6,0,1.175,1,19.68,19.11,-18.63,43.85,100,-62.96
"2026-02-20","12:00:00",6902.26,"1 Feb 25 6785 P STO 15.50 | 1 Feb 25 6975 C STO 9.15 | 1 Feb 27 6785 P BTO 28.10 | 1 Feb 27 6975 C BTO 24.20",-2768,6832.67,"2026-02-23","15:59:00",-2847,"Backtest Completed",73.8,2.666184971098266,1,634420.32,2768,"Doppio Calendar VIX O/N - VEN -18.00",2.6,2.6,0.471,0.43,19.04,21.54,-18.63,59,7.12,-7.15
"2026-02-20","10:15:00",6871.53,"1 Feb 20 6870 C BTO 21.90 | 1 Feb 20 6940 C BTO 1.40 | 2 Feb 20 6905 C STO 7.05",-930,6909.51,"2026-02-20","16:00:00",-3049,"Expired",2111.88,227.08387096774194,1,634980.12,930,"ORB 70/35 3% Monday-Friday No SL",7.12,0,0.605,0.237,20.07,19.11,-18.63,28.27,238.17,-11.83
"2026-02-20","10:05:00",6886.42,"4 Feb 20 6685 P BTO 0.50",-100,6909.51,"2026-02-20","16:00:00",0,"Expired",-206.8,-103.4,2,634773.32,200,"h 16:05//Put Lottery ticket- sma200 abv - Vix max 20- VIX max move up 1% - Move up - 1$ - MULTI - V2",6.8,0,0,0,19.92,19.11,-18.63,43.16,70,-100
"2026-02-19","13:45:00",6844.07,"1 Feb 19 6835 P STO 6.75 | 1 Feb 19 6855 C STO 5.15 | 1 Feb 19 6825 P BTO 4.10 | 1 Feb 19 6865 C BTO 2.40",530,6861.89,"2026-02-19","16:00:00",689,"Expired",-166.12,-31.343396226415095,1,632780.36,470,"IC Iron Condor 1:45 entry Vix 14 and SMA",7.12,0,1.831,64.5,20.81,20.26,-19.97,-17.27,67.92,-30
"2026-02-18","14:15:00",6882.7,"2 Feb 18 6875 P STO 4.95 | 2 Feb 18 6870 P BTO 3.75",110,6881.31,"2026-02-18","16:00:00",0,"Expired",213.4,97,2,634515,780,"h 19:15 & 20:15 Bull Put w5 - Sma5 abv - Move up 0.3%- Lun No",6.6,0,1.32,1,19.42,19.53,12.26,27.22,100,-277.27
